690,店员/营业员,687
691,安防主管,687
692,防损员/内保,687
693,收银主管/收银员,687
694,理货员/陈列员/收货员,687
695,导购员,687
696,西点师/面包糕点加工,687
697,生鲜食品加工/处理,687
698,熟食加工,687
699,兼职店员,687
700,其他,687
701,交通运输服务,639
702,飞机机长/副机长,701
703,空乘人员,701
704,地勤人员,701
705,列车车长,701
706,列车司机,701
707,乘务员,701
708,船长/副船长,701
709,船员,701
710,司机,701
711,其他,701
712,保安/家政/其他服务,639
713,保安经理,712
714,保安人员,712
715,保镖,712
716,寻呼员/话务员,712
717,搬运工,712
718,清洁工,712
719,家政服务/保姆,712
720,其他,712
721,公务员/翻译/其他,0
722,公务员,721
723,翻译,721
724,英语翻译,723
725,日语翻译,723
726,德语翻译,723
727,法语翻译,723
728,俄语翻译,723
729,意大利语翻译,723
730,西班牙语翻译,723
731,葡萄牙语翻译,723
732,阿拉伯语翻译,723
733,韩语/朝鲜语翻译,723
734,泰语翻译,723
735,中国方言翻译,723
736,其他语种翻译,723
737,在校学生,721
738,研究生,737
739,大学/大专应届毕业生,737
740,中专/职校生,737
741,其他,737
742,储备干部/培训生/实习生,721
743,储备干部,742
744,培训生,742
745,实习生,742
746,兼职,721
747,环保,721
748,环保工程师,747
749,污水处理工程师,747
750,其它,747
751,农/林/牧/渔,721
752,养殖部主管,751
753,场长(农/林/牧/渔业),751
754,农艺师,751
755,畜牧师,751
756,饲养员,751
757,动物营养/饲料研发,751
758,其他,751
759,其他,721
760,驯兽师/助理驯兽师,759
761,志愿者,759
762,其他,759
